Table S3. Weighted sum activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
8,0.5,450,8307.2
8,0.5,475,8412.3
8,0.5,500,8511
8,1,0,2060.6
8,1,25,3771.1
8,1,50,4070.8
8,1,75,5151.9
8,1,100,4947.6
8,1,125,5495.7
8,1,150,5955.3
8,1,175,6353.4
8,1,200,6692.7
8,1,225,6994.5
8,1,250,7258.2
8,1,275,7496.5
8,1,300,7705.1
8,1,325,7899.3
8,1,350,8070.7
8,1,375,8230
8,1,400,8378.2
8,1,425,8507
8,1,450,8631.5
8,1,475,8744
8,1,500,8849.8
8,2,0,2059.5
8,2,25,3641.5
8,2,50,4077.6
8,2,75,4290
8,2,100,4960.8
8,2,125,5511.6
8,2,150,5973.5
8,2,175,6373.7
8,2,200,6714.9
8,2,225,7018.5
8,2,250,7283.6
8,2,275,7523.3
8,2,300,7733.2
8,2,325,7928.6
8,2,350,8101
8,2,375,8261.3
8,2,400,8410.4
8,2,425,8540
8,2,450,8665.3
8,2,475,8778.5
8,2,500,8885
10,0.02,0,8793.5
10,0.02,25,9533.9
10,0.02,50,10224
10,0.02,75,10815
10,0.02,100,11344
10,0.02,125,11726
10,0.02,150,11974
10,0.02,175,12212
10,0.02,200,12339
10,0.02,225,12389
10,0.02,250,12395
10,0.02,275,12397
10,0.02,300,12432
10,0.02,325,12384
10,0.02,350,12421
10,0.02,375,12404
10,0.02,400,12335
10,0.02,425,12218
10,0.02,450,12255
10,0.02,475,12057
10,0.02,500,12035
10,0.05,0,4404.8
10,0.05,25,6004
10,0.05,50,7406.1
10,0.05,75,8330
10,0.05,100,9004.7
10,0.05,125,9354.6
10,0.05,150,9603.3
10,0.05,175,9854.6
10,0.05,200,9854
10,0.05,225,9881.2
10,0.05,250,10056
10,0.05,275,10141
10,0.05,300,10140
10,0.05,325,10059
10,0.05,350,10343
10,0.05,375,10149
10,0.05,400,10381
10,0.05,425,10085
10,0.05,450,10273
10,0.05,475,10449
10,0.05,500,10616
10,0.1,0,2751.8
10,0.1,25,4691.9
10,0.1,50,5919.7
10,0.1,75,6564.7
10,0.1,100,7015.4
10,0.1,125,7239.7
10,0.1,150,7313.4
10,0.1,175,7477.5
10,0.1,200,7958.4
10,0.1,225,7853.4
10,0.1,250,8210.1
10,0.1,275,7869.9
10,0.1,300,8132.7
10,0.1,325,8374.4
10,0.1,350,8597.6
10,0.1,375,8805.3
10,0.1,400,8104.3
10,0.1,425,8256.1
10,0.1,450,8397.9
10,0.1,475,8530.8
10,0.1,500,8655.9
10,0.2,0,1931.4
10,0.2,25,3808.6
10,0.2,50,4545.3
10,0.2,75,5093.9
10,0.2,100,5342.7
10,0.2,125,5527.4
10,0.2,150,6055.6
10,0.2,175,5776.2
10,0.2,200,6120.6
10,0.2,225,6428.9
10,0.2,250,6706.1
10,0.2,275,6957.9
10,0.2,300,7188.1
10,0.2,325,7398.4
10,0.2,350,7591.9
10,0.2,375,6377.8
10,0.2,400,6494.7
10,0.2,425,6605.3
10,0.2,450,6706.3
10,0.2,475,6801.5
10,0.2,500,6888.9
10,0.5,0,1543.8
10,0.5,25,2955.1
10,0.5,50,3235.8
10,0.5,75,3674.4
10,0.5,100,4309.6
10,0.5,125,4847.7
10,0.5,150,4270.5
10,0.5,175,4558.7
10,0.5,200,4804.4
10,0.5,225,5023
10,0.5,250,5214.1
10,0.5,275,5386.7
10,0.5,300,5538
10,0.5,325,5678.7
10,0.5,350,5803
10,0.5,375,5918.5
10,0.5,400,6025.9
10,0.5,425,6119.3
10,0.5,450,6209.6
10,0.5,475,6291.1
10,0.5,500,6367.9
10,1,0,1454.7
10,1,25,2571.4
10,1,50,2931.8
10,1,75,3120.7
10,1,100,3624.1
10,1,125,4039.6
10,1,150,4389.2
10,1,175,4693.1
10,1,200,4952.5
10,1,225,5183.9
10,1,250,5386.2
10,1,275,5569.3
10,1,300,5729.8
10,1,325,5879.3
10,1,350,6011.4
10,1,375,6134.3
10,1,400,6248.7
10,1,425,6348
10,1,450,6444.3
10,1,475,6531.2
10,1,500,6613.1
10,2,0,1454.1
10,2,25,2472.8
10,2,50,2936
10,2,75,3127.2
10,2,100,3632.7
10,2,125,4049.8
10,2,150,4401
10,2,175,4706.3
10,2,200,4967
10,2,225,5199.5
10,2,250,5402.8
10,2,275,5586.8
10,2,300,5748.1
10,2,325,5898.5
10,2,350,6031.2
10,2,375,6154.7
10,2,400,3650.1
10,2,425,3687.9
10,2,450,3720.3
10,2,475,3751.7
10,2,500,3777.8
12,0.02,0,6400.4
12,0.02,25,6992.5
12,0.02,50,7512.3
12,0.02,75,8021.1
12,0.02,100,8379.8
12,0.02,125,8692.9
