Table S1. Weights for nodal sum method.,,,,,,,,,,,
Diameter = 4.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.02,1,0.568694,0.303194,0.153188,0.074051,0.034516,0.015613,0.006899,0.003019,0.001387,0.000846
0.05,1,0.70833,0.488202,0.327164,0.213179,0.135195,0.083683,0.050945,0.031185,0.020386,0.016121
0.1,1,0.765947,0.579617,0.433142,0.319721,0.233495,0.169485,0.123571,0.092489,0.073838,0.066092
0.2,1,0.802577,0.642278,0.512952,0.409569,0.328048,0.265115,0.218202,0.185363,0.165221,0.156932
0.5,1,0.827105,0.686341,0.572383,0.480923,0.4085,0.352378,0.310433,0.281083,0.263219,0.256168
1,1,0.830793,0.693032,0.581511,0.492015,0.421161,0.366271,0.325269,0.296607,0.2792,0.272391
2,1,0.831097,0.693568,0.582222,0.492857,0.422101,0.367282,0.326331,0.297704,0.280319,0.27352
5,1,0.831465,0.69419,0.583015,0.49376,0.423071,0.368292,0.327361,0.298741,0.281357,0.274554
Diameter = 15.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.453994,0.193749,0.079486,0.031728,0.012413,0.004782,0.001822,0.000693,0.000277,0.000151
0.02,1,0.575516,0.31119,0.159713,0.078514,0.037247,0.017159,0.007727,0.003451,0.001622,0.001008
0.05,1,0.713312,0.495638,0.335231,0.220714,0.141599,0.088778,0.054832,0.03412,0.022698,0.018165
0.1,1,0.770027,0.586142,0.440897,0.327844,0.241424,0.176909,0.130382,0.098733,0.079676,0.071754
0.2,1,0.806177,0.648275,0.520463,0.417965,0.336899,0.274146,0.227257,0.194375,0.174187,0.165887
0.5,1,0.830516,0.692112,0.579747,0.489327,0.417558,0.361827,0.320105,0.290874,0.27307,0.266049
1,1,0.834163,0.69874,0.5888,0.50034,0.43014,0.375645,0.334868,0.306327,0.288982,0.2822
2,1,0.834458,0.69926,0.589492,0.501162,0.431059,0.376635,0.33591,0.307404,0.290081,0.28331
5,1,0.834808,0.699854,0.590251,0.50203,0.431995,0.377612,0.336909,0.308412,0.29109,0.284316
Diameter = 16.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.461108,0.200167,0.083593,0.033982,0.013543,0.005317,0.002065,0.000801,0.000327,0.000182
0.02,1,0.581938,0.318817,0.166032,0.082907,0.039982,0.018736,0.008588,0.003909,0.001877,0.001187
0.05,1,0.717989,0.502664,0.342912,0.227957,0.147822,0.093793,0.058714,0.0371,0.025082,0.020291
0.1,1,0.773863,0.592309,0.448269,0.33562,0.249076,0.184139,0.137076,0.104927,0.085507,0.077429
0.2,1,0.809578,0.653965,0.527623,0.426009,0.345421,0.282882,0.236054,0.203161,0.182948,0.174645
0.5,1,0.833743,0.697594,0.586767,0.497366,0.426251,0.370922,0.329435,0.300335,0.282601,0.275612
1,1,0.837354,0.704163,0.59575,0.508307,0.43876,0.384668,0.34413,0.315722,0.298446,0.291695
2,1,0.83764,0.70467,0.596426,0.509111,0.439661,0.385641,0.345154,0.316782,0.299528,0.292787
5,1,0.837974,0.705239,0.597156,0.509948,0.440567,0.386588,0.346125,0.317764,0.300513,0.293769
Diameter = 17.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.467857,0.206359,0.087626,0.036235,0.014693,0.00587,0.002321,0.000917,0.000382,0.000216
0.02,1,0.587995,0.326098,0.17215,0.087226,0.042716,0.020338,0.009479,0.004392,0.002151,0.001383
0.05,1,0.722388,0.509313,0.350236,0.234924,0.15387,0.098725,0.062584,0.040115,0.027529,0.022491
0.1,1,0.777476,0.598147,0.455289,0.343073,0.256465,0.191177,0.143652,0.11106,0.091319,0.083102
0.2,1,0.812794,0.65937,0.534456,0.43372,0.353627,0.291332,0.244595,0.211719,0.1915,0.183201
0.5,1,0.836801,0.702806,0.593464,0.50506,0.434595,0.379673,0.338433,0.309474,0.291816,0.284861
1,1,0.840377,0.709321,0.602382,0.515932,0.447035,0.393353,0.353063,0.324797,0.307597,0.300879
2,1,0.840656,0.709815,0.603043,0.51672,0.447919,0.394309,0.354071,0.325842,0.308665,0.301956
5,1,0.840976,0.710362,0.603747,0.51753,0.448798,0.39523,0.355017,0.326801,0.309627,0.302916
Diameter = 18.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
